source_id,material_id,material_class,original_label,property,value,unit,basis,file,sheet,cell,identity_status
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.21112,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C890,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01858926,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E890,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,892.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A891,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,95.88624,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B891,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.2123,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C891,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01833459,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E891,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,893.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A892,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,95.98611,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B892,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.2136,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C892,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01609376,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E892,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,894.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A893,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,96.08612,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B893,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.21491,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C893,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01529105,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E893,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,895.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A894,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,96.18619,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B894,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.2178,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C894,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01548437,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E894,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,896.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A895,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,96.28632,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B895,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.21861,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C895,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01559201,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E895,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_temperature,897.926,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,A896,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_time,96.38641,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,B896,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_mass_change,-0.2201,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,C896,resolved
30157066,SSA-P1-Raw,sewage_sludge_ash,#0262,tga_dtg,-0.01492109,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0262,E896,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_sample_mass,38.3248,mg,instrument_initial_sample_mass,public-data/30157066/DTU Data TGA.xlsx,#0263,B17,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_temperature,35.446,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,A33,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_time,11.08308,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,B33,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_mass_change,-0.03311016,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,C33,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_dtg,0.02532809,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,E33,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_temperature,36.446,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,A34,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_time,11.57365,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,B34,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_mass_change,-0.02115437,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,C34,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_dtg,0.02770463,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,E34,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_temperature,37.446,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,A35,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_time,11.95083,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,B35,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_mass_change,-0.009000029,mg,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,C35,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_dtg,0.02517474,mg/min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,E35,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_temperature,38.446,degC,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,A36,resolved
30157066,SSA-P2-Raw,sewage_sludge_ash,#0263,tga_time,12.27195,min,N2_instrument_signed_signal_not_air_oxidation,public-data/30157066/DTU Data TGA.xlsx,#0263,B36,resolved
