source_id,specimen_id,matrix_id,additive_id,additive_fraction_dry,firing_temperature_C,property,value,unit,replicate_id,file,sheet,cell,evidence_status
30156127,mix:R-P1-ED,R,SSA-P1-ED,0.3,,mixture_xrf_Fe2O3,9.964299999999998,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J38,source_derived
30156127,mix:R-P1-ED,R,SSA-P1-ED,0.3,,mixture_xrf_Total,99.9987,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,J39,source_derived
30156127,mix:R-P2-Raw,R,SSA-P2-Raw,0.3,,mixture_xrf_Na2O,0.7867999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K29,source_derived
30156127,mix:R-P2-Raw,R,SSA-P2-Raw,0.3,,mixture_xrf_MgO,3.2009999999999996,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K30,source_derived
30156127,mix:R-P2-Raw,R,SSA-P2-Raw,0.3,,mixture_xrf_Al2O3,11.384599999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K31,source_derived
30156127,mix:R-P2-Raw,R,SSA-P2-Raw,0.3,,mixture_xrf_SiO2,51.430699999999995,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K32,source_derived
30156127,mix:R-P2-Raw,R,SSA-P2-Raw,0.3,,mixture_xrf_P2O5,7.1862,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K33,source_derived
30156127,mix:R-P2-Raw,R,SSA-P2-Raw,0.3,,mixture_xrf_K2O,2.5566,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K34,source_derived
30156127,mix:R-P2-Raw,R,SSA-P2-Raw,0.3,,mixture_xrf_CaO,6.7367,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K35,source_derived
30156127,mix:R-P2-Raw,R,SSA-P2-Raw,0.3,,mixture_xrf_TiO2,0.8657999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K36,source_derived
30156127,mix:R-P2-Raw,R,SSA-P2-Raw,0.3,,mixture_xrf_MnO,0.10369999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K37,source_derived
30156127,mix:R-P2-Raw,R,SSA-P2-Raw,0.3,,mixture_xrf_Fe2O3,8.850999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K38,source_derived
30156127,mix:R-P2-Raw,R,SSA-P2-Raw,0.3,,mixture_xrf_Total,99.99990000000001,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,K39,source_derived
30156127,mix:R-P2-ED,R,SSA-P2-ED,0.3,,mixture_xrf_Na2O,0.7345999999999999,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L29,source_derived
30156127,mix:R-P2-ED,R,SSA-P2-ED,0.3,,mixture_xrf_MgO,2.4113999999999995,wt%,,public-data/30156127/XRF DTU Data.xlsx,Sheet1,L30,source_derived
