source_id,material_id,temperature_C,relative_humidity_percent,time_min,moisture_ratio,readout_bound_MR,experimental_uncertainty_MR,source_kind,upstream_observation_kind,locator,image,pixel_x,pixel_y,method,calibration_role,independent_material
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,130,0.233846,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,316,280,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,140,0.184615,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,332,296.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,150,0.138462,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,349,311,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,160,0.092308,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,366,326,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,170,0.064615,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,383,335.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,180,0.055385,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,400,338.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,190,0.049231,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,417,340.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,200,0.046154,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,434,341,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,40,50,210,0.043077,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,451,342.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,50,0,1.0,0.0,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,96,31.0,initial_normalization_defined_by_source_eq2,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,50,10,0.890769,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,113,66.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,50,20,0.78,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,130,102.5,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,50,30,0.676923,0.015385,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,147,136.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,50,40,0.578462,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,164,168,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,50,50,0.486154,0.018462,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,180,198.0,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,50,60,0.403077,0.016923,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,197,225,color_symbol_pixel_readout,unassigned,False
SRC_WANG_2021_SLUDGE_DRYING,mianyang_qixingba_sludge,50,50,70,0.326154,0.013846,,derived_from_evidence,reported_experimental_curve,PDF p5 Figure3c,figures/wang2021-figure3-cd.png,214,250,color_symbol_pixel_readout,unassigned,False
