dt_s,time_s,solid_mol,product_gas_mol,carrier_mol,temperature_k,pressure_pa,internal_energy_j,temperature_error_bound_k,error_solid_mol,error_temperature_k,error_pressure_pa,error_energy_j,error_carbon_mol,error_nitrogen_mol,error_mass_kg,error_prefix_energy_j
0.03125,1.71875,0.001793028077117511,0.008206971922882486,0.01,359.803147129337,544771.9557213584,-23.473387854459705,8.304732440633955e-10,1.2687161632472105e-07,0.0013679336639711437,5.860400735866278,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.75,0.0017378646385572663,0.00826213536144273,0.01,360.3998402995528,547325.6651155049,-23.473387854459705,8.091943891540018e-10,1.2520405281491766e-07,0.0013587004063992936,5.8089976605260745,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.78125,0.0016843983317891135,0.008315601668210883,0.01,360.981871007695,549811.6338469357,-23.473387854459705,7.884907628523843e-10,1.235190072710647e-07,0.001348858035498779,5.755554961971939,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.8125,0.0016325769436734282,0.008367423056326569,0.01,361.5494993442753,552231.3864744402,-23.473387854459705,7.682364183261932e-10,1.2181913384414975e-07,0.0013384414696133717,5.70021367771551,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.84375,0.0015823498674349009,0.008417650132565097,0.01,362.10298640265177,554586.4270233711,-23.473387854459705,7.485101078000097e-10,1.201069399167122e-07,0.0013274848639639458,5.643110468168743,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.875,0.0015336680532419065,0.008466331946758091,0.01,362.642593893626,556878.238579717,-23.473387854459705,7.292482916752513e-10,1.1838479262193426e-07,0.0013160215796688135,5.584377620834857,0.0,3.469446951953614e-18,0.0,5.421010862427522e-20,0.0
0.03125,1.90625,0.0014864839603063247,0.008513516039693674,0.01,363.1685837801864,559108.2829208554,-23.473387854459705,7.104425725781558e-10,1.1665492509948736e-07,0.0013040841564020411,5.524143060320057,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.03125,1.9375,0.0014407515104570337,0.008559248489542965,0.01,363.6812179320802,561278.0001827456,-23.473387854459705,6.920604629391297e-10,1.1491944250092805e-07,0.001291704289712925,5.462530371150933,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.03125,1.96875,0.0013964260431417398,0.008603573956858259,0.01,364.1807577998505,563388.8085631744,-23.473387854459705,6.742094443249525e-10,1.1318032775006412e-07,0.0012789128116992288,5.399658824200742,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.03125,2.0,0.0013534642718131993,0.0086465357281868,0.01,364.6674641079335,565442.1040605154,-23.473387854459705,6.567616862827676e-10,1.1143944707238569e-07,0.001265739675545774,5.335643412894569,0.0,1.734723475976807e-18,0.0,0.0,0.0
0.015625,0.0,0.01,0.0,0.01,300.0,249683.56210670387,-23.473387854459705,2.871455730655821e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
