scenario_id,tau,cell_index,xi_left,xi_right,u,v,f
R01,1,13,0.8666666666666667,0.93333333333333335,0.53115178790421647,0.46884821209578342,0.52307469232614467
R01,1,14,0.93333333333333335,1,0.5573252467953711,0.44267475320462896,0.51317131316712628
R01,1.1000000000000001,0,0,0.066666666666666666,0.3679581816309393,0.63204181836906081,0.55895514969957794
R01,1.1000000000000001,1,0.066666666666666666,0.13333333333333333,0.3696107963398565,0.63038920366014373,0.55833431470380113
R01,1.1000000000000001,2,0.13333333333333333,0.20000000000000001,0.37292390599740427,0.6270760940025959,0.55708754651393066
R01,1.1000000000000001,3,0.20000000000000001,0.26666666666666666,0.37791320398490491,0.62208679601509531,0.55520471283041584
R01,1.1000000000000001,4,0.26666666666666666,0.33333333333333331,0.38460206033357641,0.61539793966642375,0.55267077876108139
R01,1.1000000000000001,5,0.33333333333333331,0.40000000000000002,0.39302131126558648,0.60697868873441374,0.54946601231788317
R01,1.1000000000000001,6,0.40000000000000002,0.46666666666666667,0.40320896795605166,0.59679103204394846,0.5455662736244733
R01,1.1000000000000001,7,0.46666666666666667,0.53333333333333333,0.4152098355387957,0.58479016446120458,0.54094340049875933
