scenario_id,tau,xi,u,v,f
base,0.6000000000000001,0.3,0.45590292633863627,0.5440970736613637,0.6781918265770887
base,0.6000000000000001,0.36666666666666664,0.4624567517170274,0.5375432482829725,0.676855580989273
base,0.6000000000000001,0.43333333333333335,0.4704620729054938,0.5295379270945062,0.6751955582256648
base,0.6000000000000001,0.5,0.4799952478415218,0.5200047521584781,0.6731802693064302
base,0.6000000000000001,0.5666666666666667,0.4911449675123175,0.5088550324876824,0.6707724841488113
base,0.6000000000000001,0.6333333333333333,0.5040120116092734,0.49598798839072633,0.6679290649898832
base,0.6000000000000001,0.7,0.5187089217114424,0.4812910782885575,0.6646008240213152
base,0.6000000000000001,0.7666666666666667,0.5353595705620274,0.46464042943797246,0.66073242851758
base,0.6000000000000001,0.8333333333333334,0.5540986019477361,0.4459013980522637,0.6562623820201011
base,0.6000000000000001,0.9,0.5750707113050809,0.4249292886949189,0.6511231160355366
base,0.6000000000000001,0.9666666666666667,0.5984297325254571,0.4015702674745426,0.6452412330793708
base,0.7000000000000001,0.03333333333333333,0.4157637533030827,0.5842362466969169,0.6521705754920386
base,0.7000000000000001,0.1,0.41714624460327243,0.5828537553967271,0.6518476931594945
base,0.7000000000000001,0.16666666666666666,0.41992284071873787,0.5800771592812618,0.6511965377671473
base,0.7000000000000001,0.23333333333333334,0.4241167406466755,0.5758832593533243,0.6502063060579453
base,0.7000000000000001,0.3,0.42976267059457895,0.5702373294054207,0.6488607410729181
base,0.7000000000000001,0.36666666666666664,0.436906791003359,0.5630932089966408,0.6471380765688641
base,0.7000000000000001,0.43333333333333335,0.4456065620319254,0.5543934379680745,0.6450109746957196
base,0.7000000000000001,0.5,0.45593055814786565,0.5440694418521341,0.6424464675813456
base,0.7000000000000001,0.5666666666666667,0.4679582197522266,0.5320417802477733,0.6394059167877872
base,0.7000000000000001,0.6333333333333333,0.48177952682689973,0.5182204731731002,0.6358450083092602
base,0.7000000000000001,0.7,0.49749457641969863,0.5025054235803013,0.631713804898935
base,0.7000000000000001,0.7666666666666667,0.5152130423891297,0.48478695761087015,0.6269568820153626
base,0.7000000000000001,0.8333333333333334,0.535053492263919,0.4649465077360809,0.6215135784823266
base,0.7000000000000001,0.9,0.5571425324284038,0.44285746757159616,0.615318397884032
base,0.7000000000000001,0.9666666666666667,0.5816137492622133,0.41838625073778657,0.6083016014789175
base,0.8,0.03333333333333333,0.39616584582673986,0.6038341541732598,0.626260168783966
base,0.8,0.1,0.3976435592984485,0.6023564407015511,0.6258604767027267
base,0.8,0.16666666666666666,0.4006095142704843,0.5993904857295154,0.625055531792082
base,0.8,0.23333333333333334,0.405084728603681,0.5949152713963187,0.6238342112497204
